10m Pilot Boat,,,,,,,,,,,
Orca3D Weight and Cost Report,,,,,,,,,,,
Landing School,,,,,,,,,,,
Report Time: 3/31/2011 3:54:29 PM,,,,,,,,,,,
,,,,,,,,,,,
Model Name: C:\Documents and Settings\lab2\Micha\Assignments\09 - Pilot Boat\drawings\Niskin Pilot Boat 090.3dm,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Weight Items,,,,,,,,,,,
Object Name,,Material,Weight (kgf),LCG (mm),TCG (mm),VCG (mm),,,Weight Basis,,
"I deck, stbd",,"Al plate, 5083, 4mm",143.265,4418.123,-1040.250,1431.648,,,13.477 m^2,,
"I deck, stbd",,"Al plate, 5083, 4mm",143.265,4418.123,1040.250,1431.648,,,13.477 m^2,,
"IV sole, cabin",,"Ply, marine, 18mm",37.373,3220.600,0.000,-250.000,,,4.222 m^2,,
IV head,,"Ply, marine, 18mm",5.171,4545.210,817.613,-23.000,,,0.584 m^2,,
IV head,,"Ply, marine, 18mm",1.332,4530.000,1090.333,64.500,,,0.151 m^2,,
IV head,,"Ply, marine, 18mm",3.010,4536.500,1288.164,152.000,,,0.340 m^2,,
"I plating, bottom",,"Al plate, 5083, 8mm",599.431,5159.821,0.000,-299.831,,,28.195 m^2,,
"IV galley, port",,"Ply, marine, 18mm",7.812,3640.551,-1136.500,1011.150,,,0.883 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",13.822,5841.069,0.000,3156.222,,,1.300 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",5.347,7535.033,424.670,3254.685,,,0.503 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",6.355,6731.225,0.000,3249.716,,,0.598 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",5.347,7535.034,-424.671,3254.685,,,0.503 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",8.212,7756.113,0.000,3364.397,,,0.773 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",3.830,4823.856,506.923,3076.227,,,0.360 m^2,,
"II wheelhouse side, stbd",,"Al plate, 5083, 4mm",3.477,6267.685,1055.889,2126.222,,,0.327 m^2,,
"II engine rm air duct, stbd",,"Al plate, 5083, 4mm",2.802,8224.998,792.875,2126.222,,,0.264 m^2,,
"II engine rm air duct, stbd",,"Al plate, 5083, 4mm",5.381,8524.607,793.453,1700.597,,,0.506 m^2,,
"II engine rm air duct, stbd",,"Al plate, 5083, 4mm",4.705,8264.092,500.020,1684.037,,,0.443 m^2,,
"II wheelhouse side, stbd",,"Al plate, 5083, 4mm",39.872,6240.302,1106.126,1710.649,,,3.751 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",15.808,6584.015,752.438,3047.368,,,1.487 m^2,,
"II wheelhouse side, stbd",,"Al plate, 5083, 4mm",15.610,6698.294,969.040,2545.543,,,1.468 m^2,,
"II mounting, expansion tank, deicing, stbd",,"Al plate, 5083, 4mm",0.887,8175.986,861.525,2527.342,,,0.083 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",5.176,3114.840,594.751,1665.155,,,0.487 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",5.176,3114.840,-594.751,1665.155,,,0.487 m^2,,
"II wheelhouse side, port",,"Al plate, 5083, 4mm",3.477,6267.685,-1055.889,2126.222,,,0.327 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",3.830,4823.856,-506.923,3076.227,,,0.360 m^2,,
"II engine rm air duct, port",,"Al plate, 5083, 4mm",2.802,8224.998,-792.875,2126.222,,,0.264 m^2,,
"II engine rm air duct, port",,"Al plate, 5083, 4mm",5.381,8524.607,-793.453,1700.597,,,0.506 m^2,,
"II engine rm air duct, port",,"Al plate, 5083, 4mm",4.705,8264.092,-500.020,1684.037,,,0.443 m^2,,
"II wheelhouse side, port",,"Al plate, 5083, 4mm",39.872,6240.302,-1106.126,1710.649,,,3.751 m^2,,
"II wheelhouse side, port",,"Al plate, 5083, 4mm",15.610,6698.283,-969.040,2545.543,,,1.468 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",15.808,6583.999,-752.307,3047.124,,,1.487 m^2,,
"II mounting, expansion tank, deicing, port",,"Al plate, 5083, 4mm",0.887,8175.986,-861.525,2527.342,,,0.083 m^2,,
II wheelhouse back,,"Al plate, 5083, 4mm",42.147,8000.000,0.000,2068.191,,,3.965 m^2,,
"I long'l, side, upper, stbd",,"Al plate, 6061T6, 4mm",11.408,5956.254,1471.427,894.715,,,1.056 m^2,,
